Make,Model,Year,Trim,Trim (description),Condition type,Base MSRP,Price,Colors exterior,Colors interior,Body type,Doors,Body seats,VIN,Mileage,Cylinders,Engine size (L),Horsepower (HP),Torque (ft-lbs),Torque (rpm),Drive terrain,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city MPG,EPA highway MPG,EPA electricity range (mi),EPA time to charge battery (at 240V) (hr),Battery capacity (kWh),Source JSON,Source URL,Source Name,Title status,Image URL,Region,State,Accidents reported,Owner,Rental use?,Date captured,Date added,Date modified,Days on market,Listing year
Ford,Utility Police Interceptor,2013,Base,Unknown,Used,Unknown,10300,Black,Black,Utility,Unknown,Unknown,Unknown,51000,C,V6,300.0,Unknown,Unknown,Unknown,Automatic,Engine,E85 Flex Fuel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hyundai,Palisade,2021,SEL,Unknown,Used,Unknown,38005,Moonlight Cloud,Gray,Utility,Unknown,Unknown,Unknown,34742,G,24V,3.8L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lexus,RX 350 RX,2022,350,Unknown,Used,Unknown,54598,Blue,Black,Utility,Unknown,Unknown,Unknown,22372,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
INFINITI,Q50 Hybrid,2015,Sport,Unknown,Used,Unknown,15500,Black,Black,Utility,Unknown,Unknown,Unknown,88900,C,V6,354.0,Unknown,Unknown,Unknown,Automatic,Engine,Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,Q3 45 S line Premium,2021,Plus,Unknown,Used,Unknown,34999,Glacier White Metallic,Black,Utility,Unknown,Unknown,Unknown,9835,G,16V,2.0L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Acura,ILX,2016,2.4L,Unknown,Used,Unknown,14798,Silver,Ebony.,Utility,Unknown,Unknown,Unknown,136397,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,S3 2.0T Premium,2017,Plus,Unknown,Used,Unknown,31000,Blue,Black,Utility,Unknown,Unknown,Unknown,84000,C,4,292.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,740,2001,iL,Unknown,Used,Unknown,7300,Green,Green,Utility,Unknown,Unknown,Unknown,242000,C,8,282.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lexus,RC 350 F,2021,Sport,Unknown,Used,Unknown,41927,Black,Black,Utility,Unknown,Unknown,Unknown,23436,C,V6,311.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tesla,Model X Long Range,2020,Plus,Unknown,Used,Unknown,69950,Black,Black,Utility,Unknown,Unknown,Unknown,34000,E,Motor,534.0,Unknown,Unknown,Unknown,Automatic,Fuel,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
