make_name,model_name,manufacturing_year,trim_name,trim_description,msrp,price,engine_type,fuel_type,cylinders,engine_size_l,horsepower,torque_ft_lbs,torque_rpm,drive_type,transmission,body_type,number_of_doors,number_of_seats,epa_combined_mpg,epa_city_mpg,epa_highway_mpg,epa_electric_range_mi,epa_combined_mpg_electric,epa_city_mpg_electric,epa_highway_mpg_electric,epa_electric_range_mi_electric,battery_capacity_kwh,epa_time_to_charge_240v_hr,date_captured,date_modified
Acura,ILX,1970,Base,4dr Sedan (2.4L 4cyl 8AM),25900,24617,gas,premium unleaded (recommended),I4,2.4,201,180,3600,front wheel drive,8-speed automated manual,Sedan,4,5,28,24,34,3168,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,ILX,1970,Premium and A-SPEC Packages,Premium and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),29750,28264,gas,premium unleaded (recommended),I4,2.4,201,180,3600,front wheel drive,8-speed automated manual,Sedan,4,5,28,24,34,3168,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,ILX,1970,Premium Package,Premium Package 4dr Sedan (2.4L 4cyl 8AM),27750,26370,gas,premium unleaded (recommended),I4,2.4,201,180,3600,front wheel drive,8-speed automated manual,Sedan,4,5,28,24,34,3168,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,ILX,1970,Technology and A-SPEC Packages,Technology and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),31650,30064,gas,premium unleaded (recommended),I4,2.4,201,180,3600,front wheel drive,8-speed automated manual,Sedan,4,5,28,24,34,3168,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,ILX,1970,Technology Package,Technology Package 4dr Sedan (2.4L 4cyl 8AM),29650,28169,gas,premium unleaded (recommended),I4,2.4,201,180,3600,front wheel drive,8-speed automated manual,Sedan,4,5,28,24,34,3168,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,MDX,1970,Base,4dr SUV (3.5L 6cyl 9A),44500,41774,gas,premium unleaded (recommended),V6,3.5,290,267,4700,front wheel drive,9-speed shiftable automatic,SUV,5,7,23,20,27,3900,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,MDX,1970,Base,4dr SUV w/Technology Package (3.5L 6cyl 9A),49500,46459,gas,premium unleaded (recommended),V6,3.5,290,267,4700,front wheel drive,9-speed shiftable automatic,SUV,5,7,23,20,27,3900,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,MDX,1970,Base,4dr SUV w/Advance Package (3.5L 6cyl 9A),56250,52783,gas,premium unleaded (recommended),V6,3.5,290,267,4700,front wheel drive,9-speed shiftable automatic,SUV,5,6,23,20,27,3900,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,MDX,1970,SH-AWD,SH-AWD 4dr SUV AWD w/Advance and Entertainment Packages (3.5L 6cyl 9A),60250,56530,gas,premium unleaded (recommended),V6,3.5,290,267,4700,all wheel drive,9-speed shiftable automatic,SUV,5,7,22,19,26,3705,,,,,,,6/29/23 20:59,6/29/23 20:59
Acura,MDX,1970,SH-AWD,SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 9A),58250,54656,gas,premium unleaded (recommended),V6,3.5,290,267,4700,all wheel drive,9-speed shiftable automatic,SUV,5,6,22,19,26,3705,,,,,,,6/29/23 20:59,6/29/23 20:59
