"code","name"
"EC","AC"
"DG","AM General"
"IJ","ATK"
"CR","Abarth"
"AA","Acura"
"K2","Advance Mixer"
"M2","Airstream"
"OD","Alexander Dennis"
"AB","Alfa Romeo"
"EB","Allard"
"IC","Allstate"
"E4","Alpine"
"FG","Alvis"
"EQ","American Austin"
"EH","American Bantam"
"M3","American Coach"
"II","American IronHorse"
"KK","American LaFrance"
"DK","American Motors"
"GS","Amphicar"
"JD","Apollo"
"G4","Apperson"
"AC","Aprilia"
"AD","Arctic Cat"
"JT","Argo"
"FH","Armstrong-Siddeley"
"F4","Arnolt-Bristol"
"JE","Arnolt-MG"
"AE","Aston Martin"
"MK","Astra"
"DP","Asuna"
"N2","Atul"
"EO","Auburn"
"AF","Audi"
"CX","Austin"
"JL","Austin Healey"
"KZ","Autocar"
"J6","Autocar LLC."
"CY","Avanti"
"LW","BAIC"
"AH","BMW"
"ML","BYD"
"CN","Bajaj"
"IK","Benelli"
"AG","Bentley"
"J3","Bering"
"GC","Berkeley"
"DC","Bertone"
"IL","Beta"
"G5","Biddle"
"LT","Big Bear Choppers"
"IM","Big Dog"
"IN","Bimota"
"GX","Bizzarrini"
"G6","Blackhawk"
"J7","Blue Bird"
"IH","Bobcat"
"IO","Bombardier"
"F2","Bond"
"EA","Borgward"
"N5","Boss"
"DR","Bricklin"
"N4","Brightdrop"
"FI","Bristol"
"IP","Buell"
"DS","Bugatti"
"AI","Buick"
"IQ","Bultaco"
"LI","Bus & Coach Intl (BCI)"
"LY","CFMOTO"
"AJ","Cadillac"
"JR","Cagiva"
"AK","Can-Am"
"IR","Cannondale"
"LH","Capacity Of Texas"
"N6","Carabela"
"M4","Carado"
"G7","Case"
"JX","Case IH"
"CQ","Caterpillar"
"J2","Chance Coach Transit Bus"
"G8","Chandler"
"MM","Changan"
"MT","Chanje"
"C6","Checker"
"AL","Chevrolet"
"N3","Chinook Motor Coach"
"NN","Chirey"
"AM","Chrysler"
"D0","Cisitalia"
"CZ","Citroen"
"G9","Cleveland"
"M5","Coach House"
"M6","Coachmen"
"IS","Cobra"
"JM","Coda"
"G0","Cole"
"HA","Continental"
"EM","Cord"
"NB","Country Coach"
"J0","Country Coach Motorhome"
"J8","Crane Carrier"
"D9","Crosley"
"KP","Crown Coach"
"IE","Cub Cadet"
"E9","Cunningham"
"AN","Cupra"
"GP","DAF"
"F5","DKW"
"C7","Daewoo"
"C8","Daihatsu"
"E5","Daimler"
"M7","Damon"
"E0","Darrin"
"CV","Datsun"
"HB","Davis"
"N7","Dazon"
"HC","De Vaux"
"DE","DeLorean"
"D6","DeSoto"
"DJ","DeTomaso"
"D8","Delage"
"D7","Delahaye"
"F6","Dellow"
"NC","Dennis Eagle"
"GI","Denzel"
"GJ","Deutsch-Bonnet"
"KQ","Diamond Reo"
"HD","Diana"
"L4","Dina"
"K5","Dina Transit Bus"
"CO","Dinamo"
"AO","Dodge"
"JF","Doretti"
"HE","Du Pont"
"GD","Dual-Ghia"
"AP","Ducati"
"EL","Duesenberg"
"KR","Duplex"
"HF","Durant"
"E2","Duryea"
"M8","Dynamax Corp"
"IT","E-TON"
"CW","Eagle"
"LK","Eagle Transit Buses"
"OK","EarthRoamer"
"NU","East to West"
"M9","Econoline"
"G3","Edsel"
"J9","El Dorado"
"HG","Elcar"
"GL","Elva"
"KJ","Emergency One"
"M0","Entegra Coach"
"JS","Erik Buell Racing"
"HH","Erskine"
"EX","Essex"
"NA","Evergreen RV"
"K6","Evobus"
"C9","Excalibur"
"IU","Excelsior-Henderson"
"AQ","FAW"
"HI","FWD"
"J1","FWD Corporation"
"FC","Facel Vega"
"GK","Fairthorpe"
"HJ","Falcon Knight"
"JG","Fargo"
"KA","Federal Motors"
"MJ","Ferrara"
"AR","Ferrari"
"AS","Fiat"
"JW","Fisker"
"ND","Fleetwood"
"HK","Flint"
"KS","Flxible Transit Bus"
"AT","Ford"
"NE","Forest River"
"LO","Foretravel Motorhome"
"AU","Foton"
"NF","Four Winds International"
"ET","Franklin"
"D5","Frazer"
