"code","name"
AC1,AC
AL,AM General
AK,ATK
AH,Abarth
AA,Acura
AR,Advance Mixer
AM,Airstream
AS,Alexander Dennis
AO,Alfa Romeo
AD,Allard
AE,Allstate
AE1,Alpine
AS1,Alvis
AN,American Austin
AM1,American Bantam
AH1,American Coach
AE2,American IronHorse
AE3,American LaFrance
AS2,American Motors
AR1,Amphicar
AP,Apollo
AN1,Apperson
AA1,Aprilia
AT,Arctic Cat
AO1,Argo
AY,Armstrong-Siddeley
AL1,Arnolt-Bristol
AG,Arnolt-MG
AN2,Aston Martin
AA2,Astra
AA3,Asuna
AL2,Atul
AU,Auburn
AI,Audi
AN3,Austin
AY1,Austin Healey
AR2,Autocar
A.,Autocar LLC.
AV,Avanti
BC,BAIC
BW,BMW
BD,BYD
BJ,Bajaj
BI,Benelli
BY,Bentley
BG,Bering
BE,Berkeley
BE1,Bertone
BA,Beta
BE2,Biddle
BS,Big Bear Choppers
BG1,Big Dog
BA1,Bimota
BI1,Bizzarrini
BK,Blackhawk
BL,Blue Bird
BT,Bobcat
BR,Bombardier
BO,Bond
BD1,Borgward
BS1,Boss
BN,Bricklin
BP,Brightdrop
BL1,Bristol
BU,Buell
BI2,Bugatti
BK1,Buick
BO1,Bultaco
B),Bus & Coach Intl (BCI)
CO,CFMOTO
CC,Cadillac
CA,Cagiva
CM,Can-Am
CE,Cannondale
CS,Capacity Of Texas
CA1,Carabela
CO1,Carado
CE1,Case
CH,Case IH
CR,Caterpillar
CS1,Chance Coach Transit Bus
CR1,Chandler
CN,Changan
CE2,Chanje
CR2,Checker
CT,Chevrolet
CH1,Chinook Motor Coach
CY,Chirey
CR3,Chrysler
CI,Cisitalia
CN1,Citroen
CD,Cleveland
CE3,Coach House
CN2,Coachmen
CA2,Cobra
CA3,Coda
CE4,Cole
CL,Continental
CD1,Cord
CH2,Country Coach
CE,Country Coach Motorhome
CR,Crane Carrier
CY,Crosley
CH,Crown Coach
CT,Cub Cadet
CM,Cunningham
CA,Cupra
DF,DAF
DW,DKW
DO,Daewoo
DU,Daihatsu
DR,Daimler
DN,Damon
DN1,Darrin
DN2,Datsun
DS,Davis
DN3,Dazon
DX,De Vaux
DN4,DeLorean
DO1,DeSoto
DO2,DeTomaso
DE,Delage
DE1,Delahaye
DW1,Dellow
DE2,Dennis Eagle
DL,Denzel
DT,Deutsch-Bonnet
DO3,Diamond Reo
DA,Diana
DA1,Dina
DS1,Dina Transit Bus
DO4,Dinamo
DE3,Dodge
DI,Doretti
DT1,Du Pont
DA2,Dual-Ghia
DI1,Ducati
DG,Duesenberg
DX1,Duplex
DT2,Durant
DA3,Duryea
DP,Dynamax Corp
EN,E-TON
EE,Eagle
ES,Eagle Transit Buses
ER,EarthRoamer
ET,East to West
